"activity" "subject" "X.mean" "X.median" "body_acc_x.mean" "body_acc_x.median" "body_acc_y.mean" "body_acc_y.median" "body_acc_z.mean" "body_acc_z.median" "body_gyro_x.mean" "body_gyro_x.median" "body_gyro_y.mean" "body_gyro_y.median" "body_gyro_z.mean" "body_gyro_z.median" "total_acc_x.mean" "total_acc_x.median" "total_acc_y.mean" "total_acc_y.median" "total_acc_z.mean" "total_acc_z.median"
"LAYING" "20" -0.215697228833744 -0.225867531549038 -0.00192996151092625 -0.0211870272058205 0.000891000209123598 0.0257961305129487 0.00161060014984555 -0.00415388137288462 0.00536528093544712 0.00938044663464744 -0.00208739905973387 0.00959315116325 0.00163430970622997 0.0138804961788462 0.751725237370848 0.732293014400641 0.0213800293815254 0.0475720645192308 0.10201376017298 0.0974446125920077
"LAYING" "24" -0.255972283350764 -0.264143181131234 -0.00016666126455424 -0.0257265879445118 -0.00028538323004952 0.010792766966168 0.000129868710256562 0.00587283294703412 0.00661823931233557 0.00820164141650194 -0.00176291134390069 -0.0090978528707874 -0.000955444387722802 0.0168829996402769 0.827043046305881 0.80139314110105 0.0906292343650015 0.102056138385827 0.0558515435753306 0.0620732773427822
"LAYING" "27" -0.234360933240113 -0.242864412075503 4.59878819342022e-05 -0.0270458223003758 0.000104637881551977 0.00685158575377517 -0.00131004075142034 0.0101014368438909 -0.0419329243190995 -0.0354584553101208 0.0111497602732897 0.0136945452763758 0.013246483245148 0.027178955392198 0.749574345525081 0.722549392543624 0.0416099616723112 0.0481800777516779 0.111694972319029 0.123449128158221
"LAYING" "28" -0.257569888883947 -0.284023631236911 -8.90472153868229e-06 -0.0274481460606165 -0.00106685374442376 0.00842513313109136 -0.000463544987316141 0.00624298245849215 -0.0379757814443546 -0.0371266564642291 0.0122770178329499 0.00473884534160995 0.00642087078960862 -0.00205894481837173 0.776837852887885 0.749685761897906 -0.130402935750867 -0.121008229306283 -0.0521692605622006 -0.0454410389502618
"LAYING" "29" -0.235483694209528 -0.227507252873547 0.000316490121902421 -0.0322373400796984 -0.00069959457248557 0.00158215103723256 -0.000121556388399891 -0.012343986100609 0.0180400338053611 0.0248902517352108 -0.00629785460491947 -0.0171400686134317 0.000809865760140825 0.00461423594838808 0.819100724769713 0.786992914273256 0.132700181180323 0.135961422656977 0.198972354443821 0.186346424183765
"LAYING" "30" -0.2419484338833 -0.256550600433068 -0.000261707473529027 -0.0321899278779413 -0.000234695171607086 0.00455719374481214 0.000797469181736456 -0.0076276486224282 -0.00799093870762539 0.00481276508454034 0.00116989100628972 -0.0552820515060313 -0.00127392305658563 0.0307372518806658 0.828275386194978 0.796522522088773 0.069026105221577 0.0738778692284595 0.176431591681148 0.167992351824413
"SITTING" "12" -0.236289120543617 -0.234716909526119 -0.000399056119589028 -0.0422595944204104 -0.00070703495951601 0.0195619363020075 0.000128957268824627 0.000306788748619403 -0.0439391233301964 -0.0421464036995485 0.0144918473501795 0.0114700581181343 0.00131837660211602 0.0125279610916791 0.780830209744634 0.739412470932836 0.12985915584315 0.150488911633209 -0.0539931909038993 -0.0541278331008955
"SITTING" "13" -0.229658185567766 -0.235129209616208 -0.000346192522061227 -0.0184176210499526 -0.000268721229032397 0.0134648275224419 -0.000273405037128741 0.00912376705633486 -0.0294678832882445 -0.0238770274434404 0.00572404755701383 0.00713537559329817 0.00554709961334471 0.00637710328003058 0.837482474780438 0.819485577675841 -0.0242458544750048 -0.00976983348623853 0.0377378858175688 0.0479355437454128
"SITTING" "17" -0.238162820694933 -0.240515234370313 -0.000851998194525147 -0.0258490972944125 -0.00049865530130979 0.00559727565723125 -0.000265686223728325 0.00202222599819844 0.0152982142925648 0.0156755381770781 -0.00408543097673223 -0.00163539875090625 -0.00523009310565996 0.0102985241718453 0.807709993760742 0.78249199046875 0.0280060291604582 0.0349326620453125 0.016195589787542 0.018974861171875
"SITTING" "18" -0.323463290003648 -0.3389149775 7.88209936780208e-05 0.000120148831833333 -8.35320499114583e-05 0.000442580018166667 -0.000566172513420313 -0.0011909757635 0.00180615244211979 -0.000680981251666666 -4.80513413786457e-05 0.000118618897333333 -0.000389249106833333 -0.00175334271 1.01653836606771 1.01665916666667 -0.161819795572917 -0.161253256666667 0.0709527080651042 0.070482766
